pair,other
0.2148,0.0958
0.2954,0.0998
0.2298,0.1052
0.259,0.1152
0.1522,0.1276
0.1586,0.1312
0.34,0.1366
0.2294,0.1382
0.1454,0.1396
0.2346,0.1458
0.3564,0.153
0.286,0.1628
0.159,0.1678
0.1342,0.1694
0.1698,0.1708
0.284,0.1738
0.1944,0.174
0.1694,0.1762
,0.1804
,0.1808
,0.1868
,0.1902
,0.1942
,0.1948
,0.1958
,0.199
,0.2
,0.2068
,0.2078
,0.21
,0.212
,0.2128
,0.2142
,0.2144
,0.2154
,0.217
,0.2188
,0.2196
,0.2206
,0.2226
,0.226
,0.227
,0.2282
,0.2292
,0.2304
,0.2316
,0.2332
,0.2358
,0.2364
,0.2366
,0.2422
,0.2442
,0.2442
,0.2468
,0.25
,0.2526
,0.2592
,0.2596
,0.2598
,0.2616
,0.2626
,0.2628
,0.2674
,0.2682
,0.2682
,0.2688
,0.271
,0.271
,0.2722
,0.273
,0.2748
,0.2758
,0.2832
,0.2854
,0.2864
,0.2876
,0.2892
,0.2894
,0.2896
,0.2924
,0.2926
,0.294
,0.2948
,0.2962
,0.2972
,0.2992
,0.3
,0.3026
,0.303
,0.3032
,0.3054
,0.3058
,0.3058
,0.3078
,0.3082
,0.3082
,0.3092
,0.3104
,0.312
,0.3134
,0.3138
,0.314
,0.316
,0.3162
,0.3166
,0.3168
,0.3188
,0.3196
,0.3198
,0.3206
,0.321
,0.3212
,0.3214
,0.3238
,0.3256
,0.3264
,0.3274
,0.3278
,0.3282
,0.3288
,0.3292
,0.3294
,0.3308
,0.3308
,0.3316
,0.3316
,0.3322
,0.3332
,0.3334
,0.3336
,0.3338
,0.3354
,0.3358
,0.3358
,0.3368
,0.3378
,0.3384
,0.3398
,0.341
,0.341
,0.3436
,0.3438
,0.3462
,0.3468
,0.3482
,0.349
,0.3532
,0.3538
,0.3544
,0.3552
,0.3562
,0.3578
,0.358
,0.3588
,0.3594
,0.3602
,0.3614
,0.3622
,0.364
,0.3654
,0.3692
,0.37
,0.3752
,0.3754
,0.3782
,0.3786
,0.3816
,0.3818
,0.383
,0.3832
,0.3832
,0.3832
,0.3838
,0.3838
,0.3846
,0.3852
,0.3854
,0.3856
,0.3858
,0.3866
,0.388
,0.3884
,0.3884
,0.3884
,0.3886
,0.3888
,0.3898
,0.3898
,0.3898
,0.391
,0.392
,0.3928
,0.394
,0.3946
,0.3958
,0.3958
,0.396
,0.3978
,0.4002
,0.4006
,0.4016
,0.4022
,0.403
,0.4034
,0.4046
,0.4068
,0.4074
,0.4092
,0.4096
,0.4102
,0.411
,0.411
,0.4114
,0.412
,0.4134
,0.4148
,0.4166
,0.4168
,0.4184
,0.4188
,0.4192
,0.4196
,0.4208
,0.4216
,0.4218
,0.422
,0.426
,0.4294
,0.4294
,0.4298
,0.4298
,0.431
,0.4328
,0.4338
,0.4354
,0.4408
,0.4432
,0.4436
,0.4464
,0.4512
,0.4528
,0.454
,0.4546
,0.4558
,0.4558
,0.457
,0.4572
,0.4582
,0.4598
,0.4606
,0.4616
,0.4622
,0.4628
,0.4634
,0.4654
,0.4662
,0.47
,0.4702
,0.4704
,0.4708
,0.4728
,0.474
,0.4744
,0.479
,0.479
,0.4812
,0.4814
,0.483
,0.4852
,0.4856
,0.4864
,0.487
,0.4888
,0.489
,0.489
,0.4896
,0.4898
,0.4908
,0.4914
,0.4932
,0.5038
,0.5046
,0.5062
,0.5066
,0.5096
,0.514
,0.515
,0.5206
,0.5266
,0.5292
,0.5306
,0.5318
,0.5352
,0.5354
,0.549
,0.5558
,0.558
,0.5614
,0.5628
,0.5772
,0.5788
,0.5858
,0.588
,0.5988
,0.6098
,0.6256
,0.6274